distance_km,mode,mode_code,hour_of_day,is_peak,transfers,fare_lkr
73.44,bus,2,13,0,0,498.0
75.57,bus,2,19,1,0,547.0
142.75,bus,2,13,0,1,903.0
156.29,bus,2,13,0,0,910.0
294.39,train,3,1,0,1,1824.0
162.3,bus,2,15,0,0,1063.0
5.0,tuk,1,10,0,0,638.0
2.69,tuk,1,2,0,0,427.0
17.5,train,3,5,0,0,230.0
264.89,train,3,18,1,0,1518.0
13.17,tuk,1,22,0,0,1577.0
1.6,walk,0,12,0,0,0.0
40.67,bus,2,23,0,0,241.0
5.25,tuk,1,4,0,0,768.0
154.19,train,3,7,1,0,892.0
15.98,tuk,1,22,0,0,1831.0
16.15,tuk,1,4,0,0,1750.0
190.73,train,3,15,0,0,1096.0
11.89,tuk,1,5,0,0,1320.0
0.54,tuk,1,7,1,0,210.0
3.23,tuk,1,11,0,0,465.0
12.93,tuk,1,8,1,0,1516.0
1.76,walk,0,20,0,0,0.0
0.97,walk,0,23,0,0,0.0
2.0,tuk,1,12,0,0,358.0
1.33,walk,0,12,0,0,0.0
109.59,bus,2,1,0,0,573.0
247.03,bus,2,5,0,0,1272.0
44.78,bus,2,0,0,0,303.0
2.74,tuk,1,20,0,0,452.0
173.07,bus,2,5,0,0,1167.0
80.7,train,3,8,1,0,439.0
318.37,train,3,20,0,0,1746.0
0.11,walk,0,17,1,0,0.0
12.92,tuk,1,14,0,0,1366.0
5.58,tuk,1,0,0,0,696.0
0.78,tuk,1,13,0,0,239.0
19.06,bus,2,13,0,0,138.0
65.7,bus,2,7,1,0,415.0
1.96,walk,0,17,1,0,0.0
34.32,bus,2,22,0,0,208.0
143.14,bus,2,6,0,0,786.0
18.51,tuk,1,7,1,0,1887.0
168.05,train,3,7,1,0,1104.0
0.76,walk,0,20,0,0,0.0
345.14,train,3,1,0,0,1979.0
1.38,walk,0,21,0,0,0.0
275.03,train,3,18,1,0,1527.0
304.95,train,3,11,0,0,1787.0
9.63,taxi,4,14,0,0,1992.0
124.42,train,3,21,0,0,750.0
65.16,train,3,18,1,0,361.0
139.63,bus,2,6,0,0,828.0
58.09,train,3,1,0,0,339.0
3.06,tuk,1,15,0,0,464.0
5.97,bus,2,3,0,0,71.0
14.71,bus,2,2,0,1,197.0
184.77,train,3,23,0,1,1101.0
93.99,bus,2,11,0,0,592.0
191.98,bus,2,15,0,0,1058.0
161.69,bus,2,5,0,0,879.0
11.56,tuk,1,2,0,0,1320.0
17.2,tuk,1,1,0,0,2047.0
182.06,bus,2,8,1,0,1194.0
63.32,bus,2,0,0,0,395.0
12.11,tuk,1,10,0,0,1266.0
168.05,bus,2,7,1,0,1098.0
143.44,bus,2,12,0,0,969.0
15.17,tuk,1,14,0,0,1761.0
114.85,bus,2,7,1,1,668.0
43.49,bus,2,10,0,2,434.0
12.51,tuk,1,1,0,0,1468.0
289.31,train,3,7,1,1,1558.0
202.43,train,3,23,0,0,1167.0
105.17,bus,2,23,0,0,559.0
15.75,tuk,1,11,0,0,1790.0
198.19,bus,2,22,0,1,1327.0
211.44,train,3,12,0,1,1237.0
199.16,bus,2,3,0,1,1170.0
229.42,train,3,20,0,0,1477.0
239.44,bus,2,9,1,0,1198.0
27.1,bus,2,14,0,0,185.0
14.76,tuk,1,15,0,0,1558.0
74.98,train,3,7,1,0,484.0
12.14,tuk,1,17,1,0,1544.0
200.34,bus,2,12,0,2,1115.0
215.15,train,3,8,1,0,1355.0
5.44,tuk,1,7,1,0,680.0
99.92,bus,2,17,1,1,587.0
0.27,walk,0,5,0,0,0.0
151.08,train,3,2,0,0,857.0
1.57,walk,0,21,0,0,0.0
22.59,train,3,7,1,0,264.0
14.58,tuk,1,15,0,0,1802.0
8.58,taxi,4,17,1,0,1853.0
31.01,train,3,20,0,0,271.0
178.07,bus,2,15,0,1,1022.0
95.03,train,3,16,0,0,511.0
316.99,train,3,20,0,0,1990.0
151.28,train,3,22,0,1,849.0
10.26,tuk,1,1,0,0,1224.0
110.67,bus,2,17,1,0,600.0
1.52,walk,0,4,0,0,0.0
105.52,bus,2,21,0,1,656.0
9.66,tuk,1,1,0,0,1221.0
98.1,bus,2,5,0,0,556.0
240.58,bus,2,4,0,1,1321.0
112.13,bus,2,14,0,1,631.0
192.43,bus,2,0,0,1,1027.0
165.29,train,3,0,0,0,905.0
339.87,train,3,12,0,0,1929.0
5.6,bus,2,23,0,0,109.0
141.56,bus,2,12,0,0,845.0
320.83,train,3,10,0,0,1691.0
1.6,tuk,1,15,0,0,310.0
1.12,tuk,1,13,0,0,269.0
1.29,walk,0,9,1,0,0.0
135.46,bus,2,14,0,0,874.0
188.4,bus,2,0,0,0,941.0
310.49,train,3,5,0,0,1554.0
233.68,bus,2,16,0,1,1610.0
17.54,tuk,1,8,1,0,1881.0
24.96,train,3,1,0,0,252.0
248.16,train,3,2,0,0,1441.0
6.33,tuk,1,20,0,0,899.0
164.41,bus,2,7,1,0,1069.0
19.86,tuk,1,0,0,0,2397.0
14.6,tuk,1,17,1,0,1683.0
16.63,tuk,1,12,0,0,1634.0
127.72,train,3,10,0,1,937.0
75.77,bus,2,21,0,1,518.0
32.18,bus,2,7,1,0,221.0
36.95,train,3,13,0,0,338.0
26.85,bus,2,17,1,0,259.0
325.96,train,3,14,0,0,1497.0
302.1,train,3,4,0,1,1907.0
152.77,bus,2,16,0,0,940.0
57.98,bus,2,17,1,0,437.0
23.35,taxi,4,2,0,0,4122.0
25.22,train,3,3,0,0,204.0
35.07,taxi,4,16,0,0,5069.0
5.69,tuk,1,2,0,0,772.0
157.21,train,3,21,0,0,773.0
59.52,bus,2,2,0,0,364.0
19.42,tuk,1,23,0,0,2047.0
122.69,bus,2,16,0,1,869.0
115.03,bus,2,10,0,1,881.0
1.05,walk,0,6,0,0,0.0
121.26,bus,2,8,1,0,672.0
222.23,train,3,17,1,1,1495.0
7.3,tuk,1,18,1,0,1010.0
68.01,bus,2,5,0,0,429.0
184.88,bus,2,13,0,0,887.0
10.17,tuk,1,23,0,0,1217.0
63.85,train,3,6,0,0,416.0
31.7,train,3,16,0,0,272.0
2.7,tuk,1,4,0,0,379.0
80.71,taxi,4,20,0,0,13370.0
321.33,train,3,4,0,0,1515.0
6.84,tuk,1,7,1,0,958.0
208.73,train,3,11,0,0,1167.0
6.41,tuk,1,8,1,0,765.0
8.59,taxi,4,4,0,0,1657.0
249.4,bus,2,15,0,0,1563.0
109.62,bus,2,0,0,0,764.0
1.97,walk,0,23,0,0,0.0
264.93,train,3,1,0,0,1512.0
0.66,walk,0,8,1,0,0.0
10.64,tuk,1,22,0,0,1144.0
3.35,tuk,1,3,0,0,518.0
113.36,train,3,1,0,0,774.0
7.37,tuk,1,17,1,0,870.0
224.65,train,3,1,0,0,1352.0
98.3,bus,2,21,0,0,471.0
1.96,walk,0,10,0,0,0.0
1.99,walk,0,20,0,0,0.0
1.59,walk,0,5,0,0,0.0
44.74,bus,2,3,0,2,369.0
31.43,train,3,23,0,1,398.0
8.11,tuk,1,18,1,0,915.0
215.05,train,3,21,0,1,1177.0
1.4,walk,0,7,1,0,0.0
278.89,train,3,9,1,1,1572.0
140.29,train,3,13,0,0,803.0
292.59,train,3,10,0,0,1695.0
207.22,bus,2,5,0,0,1364.0
159.01,train,3,9,1,2,1089.0
0.39,walk,0,14,0,0,0.0
14.43,tuk,1,0,0,0,1625.0
18.2,tuk,1,8,1,0,2203.0
190.43,bus,2,7,1,1,1207.0
301.77,train,3,1,0,0,1891.0
248.02,bus,2,2,0,0,1413.0
307.3,train,3,11,0,0,1379.0
17.39,tuk,1,2,0,0,2010.0
68.57,train,3,8,1,0,495.0
2.35,tuk,1,13,0,0,382.0
5.27,tuk,1,20,0,0,703.0
170.91,train,3,2,0,1,1022.0
37.89,taxi,4,10,0,0,6062.0
144.98,bus,2,2,0,0,975.0
1.58,walk,0,10,0,0,0.0
28.4,bus,2,11,0,1,245.0
0.99,walk,0,19,1,0,0.0
192.6,train,3,10,0,0,855.0
223.99,train,3,22,0,0,1283.0
16.65,tuk,1,3,0,0,1831.0
1.2,walk,0,1,0,0,0.0
6.58,tuk,1,0,0,0,751.0
126.24,taxi,4,8,1,0,17771.0
146.38,bus,2,4,0,0,934.0
275.19,train,3,2,0,0,1613.0
81.09,bus,2,5,0,2,638.0
73.43,bus,2,23,0,0,472.0
5.62,tuk,1,19,1,0,791.0
271.29,train,3,0,0,0,1264.0
19.39,tuk,1,21,0,0,2190.0
249.69,bus,2,4,0,0,1250.0
107.62,bus,2,9,1,0,662.0
222.24,bus,2,7,1,1,1104.0
298.02,train,3,9,1,0,1722.0
11.52,tuk,1,18,1,0,1454.0
168.65,bus,2,17,1,0,1016.0
178.85,bus,2,14,0,0,882.0
163.27,bus,2,15,0,0,854.0
8.33,tuk,1,17,1,0,1079.0
19.53,tuk,1,4,0,0,1930.0
11.59,tuk,1,9,1,0,1233.0
15.74,tuk,1,2,0,0,1611.0
173.72,bus,2,16,0,1,942.0
116.36,bus,2,10,0,1,700.0
131.85,bus,2,15,0,0,888.0
78.21,bus,2,13,0,1,540.0
65.61,bus,2,6,0,0,418.0
13.51,tuk,1,3,0,0,1549.0
55.12,bus,2,23,0,0,418.0
0.99,tuk,1,7,1,0,274.0
1.95,walk,0,2,0,0,0.0
62.72,bus,2,7,1,0,427.0
169.24,bus,2,21,0,0,806.0
19.51,tuk,1,6,0,0,2174.0
83.77,bus,2,23,0,1,535.0
161.41,bus,2,11,0,1,1031.0
335.39,train,3,20,0,1,2162.0
149.64,bus,2,15,0,0,723.0
244.35,bus,2,1,0,0,1478.0
4.53,tuk,1,12,0,0,623.0
206.09,train,3,10,0,0,968.0
111.88,bus,2,4,0,0,624.0
221.72,bus,2,13,0,0,1101.0
158.75,bus,2,2,0,0,782.0
129.7,bus,2,16,0,0,735.0
161.56,bus,2,19,1,2,1147.0
302.24,train,3,2,0,0,1425.0
334.57,train,3,11,0,0,1857.0
240.95,train,3,15,0,0,1165.0
33.19,bus,2,1,0,0,208.0
94.02,bus,2,9,1,0,604.0
61.96,train,3,6,0,0,443.0
5.29,tuk,1,0,0,0,728.0
226.82,train,3,19,1,0,1204.0
17.79,bus,2,10,0,0,194.0
1.93,tuk,1,18,1,0,365.0
0.53,walk,0,14,0,0,0.0
291.29,train,3,21,0,1,1572.0
1.57,walk,0,23,0,0,0.0
3.17,tuk,1,14,0,0,499.0
18.31,tuk,1,8,1,0,2149.0
9.95,tuk,1,10,0,0,1104.0
14.68,tuk,1,19,1,0,1701.0
80.41,train,3,10,0,0,464.0
1.06,walk,0,12,0,0,0.0
191.89,train,3,4,0,2,1382.0
227.09,train,3,23,0,0,1191.0
150.86,bus,2,15,0,1,977.0
14.99,tuk,1,7,1,0,1800.0
60.06,bus,2,14,0,0,419.0
19.39,tuk,1,9,1,0,2022.0
162.98,bus,2,3,0,0,1070.0
47.83,taxi,4,20,0,0,7752.0
134.74,taxi,4,21,0,0,18407.0
181.77,train,3,20,0,0,895.0
17.07,tuk,1,8,1,0,2052.0
169.99,bus,2,6,0,1,1021.0
326.94,train,3,1,0,0,1908.0
209.51,bus,2,17,1,0,1425.0
218.34,bus,2,7,1,0,1473.0
0.86,walk,0,21,0,0,0.0
2.63,tuk,1,20,0,0,445.0
103.98,bus,2,3,0,0,561.0
6.15,tuk,1,22,0,0,727.0
17.21,tuk,1,3,0,0,2098.0
66.0,train,3,11,0,0,464.0
84.71,taxi,4,11,0,0,12502.0
109.07,bus,2,22,0,0,592.0
342.59,train,3,15,0,0,1561.0
139.0,taxi,4,21,0,0,21849.0
16.36,tuk,1,14,0,0,1770.0
200.64,bus,2,19,1,0,1043.0
212.32,bus,2,20,0,0,1428.0
0.81,walk,0,20,0,0,0.0
217.95,train,3,9,1,1,1172.0
235.27,bus,2,9,1,0,1586.0
23.86,bus,2,23,0,0,114.0
13.36,tuk,1,18,1,0,1554.0
11.74,tuk,1,22,0,0,1389.0
280.57,train,3,13,0,0,1734.0
1.92,walk,0,22,0,0,0.0
17.89,tuk,1,17,1,0,1937.0
12.28,tuk,1,17,1,0,1389.0
23.74,bus,2,4,0,0,219.0
76.53,bus,2,13,0,0,434.0
174.89,bus,2,17,1,0,1090.0
1.13,walk,0,18,1,0,0.0
15.66,tuk,1,22,0,0,1643.0
235.26,train,3,7,1,0,1161.0
166.9,bus,2,7,1,0,1044.0
97.01,bus,2,23,0,0,540.0
13.61,bus,2,23,0,0,122.0
111.06,train,3,4,0,0,586.0
1.41,walk,0,9,1,0,0.0
184.18,bus,2,22,0,0,1135.0
112.99,bus,2,4,0,1,698.0
1.58,tuk,1,18,1,0,350.0
23.94,train,3,2,0,0,270.0
228.45,bus,2,4,0,0,1272.0
319.69,train,3,18,1,0,1734.0
90.2,train,3,14,0,0,641.0
46.75,bus,2,13,0,0,394.0
86.06,train,3,20,0,0,510.0
209.53,bus,2,7,1,0,1012.0
248.89,train,3,12,0,0,1167.0
13.35,tuk,1,14,0,0,1559.0
127.58,bus,2,17,1,0,642.0
19.22,bus,2,7,1,0,148.0
16.51,tuk,1,15,0,0,1889.0
92.63,bus,2,10,0,1,598.0
94.56,train,3,13,0,0,580.0
217.17,bus,2,20,0,1,1110.0
11.71,tuk,1,9,1,0,1383.0
18.0,tuk,1,16,0,0,2007.0
13.28,tuk,1,22,0,0,1624.0
1.85,walk,0,18,1,0,0.0
90.54,train,3,23,0,0,626.0
178.59,bus,2,14,0,0,969.0
2.6,tuk,1,6,0,0,424.0
66.91,bus,2,23,0,0,434.0
0.31,walk,0,15,0,0,0.0
17.88,tuk,1,5,0,0,1859.0
214.26,train,3,7,1,0,1366.0
13.22,bus,2,6,0,1,164.0
77.41,taxi,4,20,0,0,11038.0
76.39,bus,2,2,0,0,501.0
226.27,bus,2,17,1,0,1346.0
26.88,train,3,13,0,1,325.0
16.49,train,3,1,0,2,391.0
174.66,train,3,14,0,0,925.0
71.65,taxi,4,18,1,0,10884.0
342.12,train,3,17,1,0,1747.0
75.18,train,3,12,0,0,462.0
7.07,tuk,1,8,1,0,901.0
252.68,train,3,3,0,1,1248.0
7.92,bus,2,0,0,2,191.0
208.85,bus,2,8,1,1,1191.0
89.94,bus,2,15,0,0,528.0
49.86,taxi,4,0,0,0,7190.0
74.73,taxi,4,23,0,0,11848.0
4.45,tuk,1,14,0,0,563.0
67.64,train,3,7,1,0,419.0
257.91,train,3,23,0,0,1188.0
2.51,tuk,1,4,0,0,419.0
5.68,tuk,1,22,0,0,772.0
0.64,walk,0,6,0,0,0.0
119.46,train,3,9,1,2,761.0
44.67,bus,2,10,0,1,368.0
110.27,taxi,4,23,0,0,15173.0
224.67,bus,2,6,0,0,1316.0
77.42,taxi,4,23,0,0,12004.0
86.37,bus,2,8,1,0,535.0
251.32,train,3,6,0,0,1427.0
1.69,walk,0,15,0,0,0.0
47.39,bus,2,16,0,0,318.0
311.02,train,3,8,1,0,1437.0
324.64,train,3,3,0,0,1579.0
190.8,train,3,9,1,1,1247.0
1.52,walk,0,12,0,0,0.0
141.47,bus,2,0,0,0,904.0
0.53,walk,0,1,0,0,0.0
3.08,tuk,1,22,0,0,496.0
203.26,bus,2,0,0,0,1029.0
238.49,train,3,9,1,0,1319.0
236.24,train,3,18,1,0,1129.0
341.61,train,3,7,1,0,2067.0
110.33,train,3,11,0,0,762.0
140.04,train,3,2,0,0,908.0
0.93,walk,0,19,1,0,0.0
18.89,tuk,1,15,0,0,2082.0
81.53,bus,2,20,0,0,431.0
69.78,train,3,20,0,0,522.0
0.83,walk,0,8,1,0,0.0
220.48,bus,2,0,0,0,1428.0
56.53,bus,2,8,1,1,391.0
0.11,walk,0,3,0,0,0.0
207.22,bus,2,12,0,0,1182.0
17.84,train,3,3,0,0,180.0
224.9,bus,2,22,0,0,1254.0
10.01,tuk,1,14,0,0,1262.0
264.4,train,3,6,0,0,1377.0
2.6,tuk,1,22,0,0,442.0
291.84,train,3,18,1,1,1643.0
17.8,tuk,1,10,0,0,1845.0
173.25,bus,2,3,0,0,940.0
218.89,bus,2,8,1,0,1053.0
2.23,tuk,1,14,0,0,399.0
96.44,train,3,18,1,0,543.0
9.69,tuk,1,6,0,0,1018.0
0.29,walk,0,17,1,0,0.0
13.81,tuk,1,6,0,0,1606.0
233.21,train,3,5,0,0,1289.0
205.42,train,3,10,0,0,1011.0
6.35,taxi,4,3,0,0,1404.0
11.52,tuk,1,9,1,0,1438.0
174.91,bus,2,8,1,0,1086.0
14.5,tuk,1,6,0,0,1715.0
186.2,bus,2,18,1,1,976.0
57.36,taxi,4,7,1,0,8966.0
127.13,train,3,16,0,0,691.0
48.4,bus,2,17,1,0,304.0
62.7,bus,2,15,0,0,446.0
145.3,train,3,6,0,0,945.0
227.99,bus,2,19,1,0,1230.0
8.51,tuk,1,5,0,0,988.0
210.0,bus,2,6,0,2,1179.0
0.91,walk,0,20,0,0,0.0
9.73,tuk,1,8,1,0,1134.0
0.52,walk,0,16,0,0,0.0
175.65,bus,2,1,0,1,1014.0
37.91,bus,2,14,0,1,315.0
13.59,tuk,1,20,0,0,1676.0
239.08,bus,2,17,1,0,1546.0
77.36,taxi,4,13,0,0,10863.0
267.64,train,3,20,0,1,1294.0
186.18,bus,2,7,1,0,1275.0
12.41,tuk,1,9,1,0,1456.0
217.68,train,3,1,0,0,1268.0
1.02,tuk,1,16,0,0,237.0
19.98,tuk,1,17,1,0,2357.0
131.04,train,3,18,1,0,809.0
133.87,bus,2,17,1,0,723.0
94.03,train,3,3,0,0,652.0
212.07,bus,2,15,0,0,1069.0
153.02,bus,2,18,1,1,1007.0
19.53,tuk,1,4,0,0,1888.0
8.14,tuk,1,11,0,0,1047.0
11.51,tuk,1,21,0,0,1273.0
5.65,tuk,1,9,1,0,745.0
263.74,train,3,18,1,0,1445.0
13.65,tuk,1,12,0,0,1636.0
137.48,bus,2,15,0,0,687.0
280.37,train,3,15,0,0,1798.0
21.55,train,3,15,0,0,221.0
143.54,bus,2,18,1,0,725.0
155.5,bus,2,21,0,0,1001.0
97.13,taxi,4,7,1,0,14982.0
52.35,bus,2,22,0,0,385.0
231.64,train,3,15,0,0,1192.0
